,,authority,portrait,year,obj,denomination,material,region,deity,url,fname,years_bins
0,40941,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Italia,http://numismatics.org/collectionimages/19501999/1956/1956.127.377.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974159.2348688,101-150
0,18147,Antoninus Pius,Antoninus Pius,148.0,Coin,Sestertius,Bronze,Italy,Fides,http://numismatics.org/collectionimages/19501999/1980/1980.187.6.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967941.7542164,101-150
0,28727,Antoninus Pius,Antoninus Pius,144.0,Coin,Drachm,Bronze,Egypt,Sol,http://numismatics.org/collectionimages/19001949/1938/1938.127.168.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590970834.243132,101-150
0,35754,Antoninus Pius,Antoninus Pius,152.0,Coin,Aureus,Gold,Italy,,http://numismatics.org/collectionimages/19501999/1972/1972.62.10.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972738.3023853,151-200
0,18226,Antoninus Pius,Antoninus Pius,158.0,Coin,Sestertius,Bronze,Italy,Pietas,http://numismatics.org/collectionimages/19501999/1983/1983.42.6.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967963.7242525,151-200
0,43900,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Annona,http://numismatics.org/collectionimages/19501999/1956/1956.127.1864.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974959.2090974,101-150
0,42797,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Italia,http://numismatics.org/collectionimages/19501999/1995/1995.110.30.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974662.8914285,101-150
0,43056,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19501999/1973/1973.56.797.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974731.7550766,101-150
0,6426,Antoninus Pius,Antoninus Pius,151.0,Coin,Sestertius,Bronze,Italy,Victory,http://numismatics.org/collectionimages/19001949/1944/1944.100.48283.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964776.1555586,151-200
0,6529,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,Mars,http://numismatics.org/collectionimages/19001949/1944/1944.100.48259.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964802.275808,101-150
0,40979,Antoninus Pius,Antoninus Pius,152.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19501999/1956/1956.127.442.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974168.8059459,151-200
0,19755,Antoninus Pius,Antoninus Pius,158.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1911/1911.23.236.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968372.1690493,151-200
0,5432,Marcus Aurelius,Antoninus Pius,161.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.49527.obv.width175.jpg,Marcus Aurelius_Antoninus_1590964509.6453018,151-200
0,25685,Antoninus Pius,Antoninus Pius,150.0,Coin,Aureus,Gold,Italy,Pax,http://numismatics.org/collectionimages/19501999/1967/1967.50.3.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590970005.7362278,101-150
0,6423,Antoninus Pius,Antoninus Pius,150.0,Coin,As,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19001949/1944/1944.100.48280.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964775.4544969,101-150
0,40965,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Felicitas,http://numismatics.org/collectionimages/19501999/1956/1956.127.416.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974165.423,101-150
0,43559,Antoninus Pius,Antoninus Pius,158.0,Coin,Tetradrachm,Billon,Egypt,Zeus,http://numismatics.org/collectionimages/19001949/1944/1944.100.58995.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974866.4142423,151-200
0,40801,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Genius,http://numismatics.org/collectionimages/19501999/1956/1956.127.368.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974121.982808,101-150
0,12487,Antoninus Pius,Antoninus Pius,156.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.61052.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966409.350602,151-200
0,35635,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1941/1941.15.63.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972707.186582,101-150
0,26928,Antoninus Pius,Antoninus Pius,153.0,Coin,Denarius,Silver,Italy,Fortuna,http://numismatics.org/collectionimages/19501999/1987/1987.26.160.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590970346.6772077,151-200
0,43591,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60150.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974876.0594592,101-150
0,36507,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,Securitas,http://numismatics.org/collectionimages/19501999/1988/1988.5.36.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972941.6995158,101-150
0,41782,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.1809.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974388.2567995,101-150
0,34715,Antoninus Pius,Antoninus Pius,147.0,Coin,Tetradrachm,Billon,Egypt,Apollo,http://numismatics.org/collectionimages/19001949/1944/1944.100.58739.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972462.3608599,101-150
0,25890,Antoninus Pius,Antoninus Pius,157.0,Coin,Drachm,Bronze,Egypt,Nilus,http://numismatics.org/collectionimages/19501999/1973/1973.56.844.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590970060.8618798,151-200
0,19744,Antoninus Pius,Antoninus Pius,154.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1911/1911.23.226.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968369.4898398,151-200
0,6337,Antoninus Pius,Antoninus Pius,147.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48148.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964751.774726,101-150
0,40811,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,Concordia,http://numismatics.org/collectionimages/19501999/1956/1956.127.384.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974124.5269666,101-150
0,16574,Antoninus Pius,Antoninus Pius,151.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1947/1947.2.467.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967520.5280151,151-200
0,22184,Antoninus Pius,Antoninus Pius,148.0,Coin,As,Bronze,Italy,Felicitas,http://numismatics.org/collectionimages/19001949/1906/1906.236.351.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590969047.0164878,101-150
0,43090,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Aequitas,http://numismatics.org/collectionimages/19501999/1956/1956.163.661.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974740.5898829,101-150
0,35760,Antoninus Pius,Antoninus Pius,159.0,Coin,Aureus,Gold,Italy,Pietas,http://numismatics.org/collectionimages/19501999/1972/1972.62.16.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972740.150984,151-200
0,25892,Antoninus Pius,Antoninus Pius,158.0,Coin,Drachm,Bronze,Egypt,Ares,http://numismatics.org/collectionimages/19501999/1973/1973.56.847.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590970061.3088732,151-200
0,43630,Antoninus Pius,Antoninus Pius,141.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60251.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974885.7539728,101-150
0,41491,Antoninus Pius,Antoninus Pius,151.0,Coin,Sestertius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19501999/1995/1995.11.147.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974308.4752,151-200
0,6315,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Genius,http://numismatics.org/collectionimages/19001949/1944/1944.100.48125.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964746.2134223,101-150
0,41568,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.154.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974328.7835345,101-150
0,22180,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1906/1906.236.348.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590969046.0652282,101-150
0,25686,Antoninus Pius,Antoninus Pius,153.0,Coin,Aureus,Gold,Italy,,http://numismatics.org/collectionimages/19501999/1967/1967.50.4.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590970005.9707637,151-200
0,21739,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,Annona,http://numismatics.org/collectionimages/19501999/1951/1951.61.64.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968925.8019192,101-150
0,40977,Antoninus Pius,Antoninus Pius,152.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19501999/1956/1956.127.440.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974168.3280642,151-200
0,12492,Antoninus Pius,Antoninus Pius,159.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.61058.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966410.480533,151-200
0,43523,Antoninus Pius,Antoninus Pius,144.0,Coin,Drachm,Bronze,Egypt,Saturn,http://numismatics.org/collectionimages/19001949/1944/1944.100.60364.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974857.8404882,101-150
0,36623,Marcus Aurelius,Antoninus Pius,148.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/00001899/0000/0000.999.20762.obv.width175.jpg,Marcus Aurelius_Antoninus Pius Divus_1590972973.729369,101-150
0,6402,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,Tiber,http://numismatics.org/collectionimages/19001949/1944/1944.100.48222.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964770.1754503,101-150
0,34720,Antoninus Pius,Antoninus Pius,147.0,Coin,Tetradrachm,Billon,Egypt,Elpis,http://numismatics.org/collectionimages/19001949/1944/1944.100.58753.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972463.9839203,101-150
0,6350,Antoninus Pius,Antoninus Pius,151.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1944/1944.100.48161.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964755.1876001,151-200
0,17826,Antoninus Pius,Antoninus Pius,156.0,Coin,Sestertius,Bronze,Italy,Roma,http://numismatics.org/collectionimages/19501999/1957/1957.172.1725.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967856.898416,151-200
0,39695,Antoninus Pius,Antoninus Pius,153.0,Coin,Denarius,Silver,Italy,Annona,http://numismatics.org/collectionimages/19501999/1956/1956.127.1875.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590973823.3324234,151-200
0,19696,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Aequitas,http://numismatics.org/collectionimages/19001949/1911/1911.23.182.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968356.7169225,101-150
0,6534,Antoninus Pius,Antoninus Pius,157.0,Coin,Dupondius,Bronze,Italy,Fortuna,http://numismatics.org/collectionimages/19001949/1944/1944.100.48302.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964803.465759,151-200
0,12461,Antoninus Pius,Antoninus Pius,141.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.61000.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966402.9658353,101-150
0,43627,Antoninus Pius,Antoninus Pius,141.0,Coin,Drachm,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.60244.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974885.0766027,101-150
0,43488,Antoninus Pius,Antoninus Pius,144.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60314.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974849.0254266,101-150
0,34508,Antoninus Pius,Antoninus Pius,140.0,Coin,Tetradrachm,Billon,Egypt,Demeter,http://numismatics.org/collectionimages/19001949/1944/1944.100.58588.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972408.3542957,101-150
0,23600,Antoninus Pius,Antoninus Pius,147.0,Coin,Denarius,Silver,Italy,Salus,http://numismatics.org/collectionimages/19501999/1960/1960.170.235.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590969427.564383,101-150
0,6430,Antoninus Pius,Antoninus Pius,152.0,Coin,Sestertius,Bronze,Italy,Salus,http://numismatics.org/collectionimages/19001949/1944/1944.100.48287.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964777.095285,151-200
0,16242,Antoninus Pius,Antoninus Pius,148.0,Coin,Aureus,Gold,Italy,Aequitas,http://numismatics.org/collectionimages/19001949/1948/1948.19.1258.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967433.4703717,101-150
0,6408,Antoninus Pius,Antoninus Pius,145.0,Coin,Dupondius,Bronze,Italy,Mars,http://numismatics.org/collectionimages/19001949/1944/1944.100.48265.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964771.5810807,101-150
0,21524,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,Moneta,http://numismatics.org/collectionimages/19001949/1931/1931.58.364.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968868.3911226,101-150
0,12465,Antoninus Pius,Antoninus Pius,143.0,Coin,Drachm,Bronze,Egypt,Hermes,http://numismatics.org/collectionimages/19001949/1944/1944.100.61007.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966403.8290823,101-150
0,36118,Antoninus Pius,Antoninus Pius,140.0,Coin,Drachm,Bronze,Egypt,Zeus,http://numismatics.org/collectionimages/19501999/1974/1974.26.3655.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972837.7303393,101-150
0,20016,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Pax,http://numismatics.org/collectionimages/19501999/1985/1985.140.120.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968458.3894918,101-150
0,6369,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48192.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964760.0310354,101-150
0,43877,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19501999/1956/1956.127.1829.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974952.7518926,101-150
0,6442,Antoninus Pius,Antoninus Pius,156.0,Coin,Dupondius,Bronze,Italy,Providentia,http://numismatics.org/collectionimages/19001949/1944/1944.100.48299.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964780.368643,151-200
0,19741,Antoninus Pius,Antoninus Pius,153.0,Coin,Denarius,Silver,Italy,Vesta,http://numismatics.org/collectionimages/19001949/1911/1911.23.223.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968368.7700756,151-200
0,6330,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48141.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964750.1471586,101-150
0,40784,Antoninus Pius,Antoninus Pius,148.0,Coin,Denarius,Silver,Italy,Victory,http://numismatics.org/collectionimages/19501999/1956/1956.127.338.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974117.3350544,101-150
0,40169,Antoninus Pius,Antoninus Pius,100.0,Funerary object,,Gold,,,http://numismatics.org/collectionimages/20002049/2018/2018.36.12.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590973949.2579467,51-100
0,43582,Antoninus Pius,Antoninus Pius,138.0,Coin,Diobol,Bronze,Egypt,Serapis,http://numismatics.org/collectionimages/19001949/1944/1944.100.60113.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974874.04764,101-150
0,23654,Hadrian,Antoninus Pius,148.0,Coin,Aureus,Gold,Italy,Spes,http://numismatics.org/collectionimages/19501999/1960/1960.175.33.obv.width175.jpg,Hadrian_Antoninus Pius_1590969441.2938416,101-150
0,16577,Antoninus Pius,Antoninus Pius,140.0,Coin,Dupondius,Bronze,Italy,Genius,http://numismatics.org/collectionimages/19001949/1947/1947.2.470.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590967521.2412014,101-150
0,42281,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Genius,http://numismatics.org/collectionimages/19501999/1995/1995.110.31.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974522.1272385,101-150
0,34121,Antoninus Pius,Antoninus Pius,140.0,Coin,As,Bronze,Italy,Bonus Eventus,http://numismatics.org/collectionimages/19001949/1943/1943.23.49.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972306.8999808,101-150
0,38979,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,Liberalitas,http://numismatics.org/collectionimages/19501999/1956/1956.28.247.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590973634.1653323,101-150
0,12421,Antoninus Pius,Antoninus Pius,158.0,Coin,Drachm,Bronze,Egypt,Zeus,http://numismatics.org/collectionimages/19001949/1944/1944.100.60926.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590966392.94413,151-200
0,25335,Antoninus Pius,Antoninus Pius,145.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19501999/1978/1978.27.6.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590969911.7419758,101-150
0,41641,Antoninus Pius,Antoninus Pius,148.0,Coin,Dupondius,Bronze,Italy,Pax,http://numismatics.org/collectionimages/19501999/1995/1995.11.161.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974349.762945,101-150
0,6352,Antoninus Pius,Antoninus Pius,151.0,Coin,Denarius,Silver,Italy,Fortuna,http://numismatics.org/collectionimages/19001949/1944/1944.100.48163.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964755.6561832,151-200
0,40039,Antoninus Pius,Antoninus Pius,151.0,Coin,Drachm,Bronze,Egypt,,http://numismatics.org/collectionimages/19001949/1944/1944.100.60680.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590973915.5979145,151-200
0,34581,Antoninus Pius,Antoninus Pius,144.0,Coin,Drachm,Bronze,Egypt,Ares,http://numismatics.org/collectionimages/19001949/1944/1944.100.61435.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590972428.5172627,101-150
0,6368,Antoninus Pius,Antoninus Pius,159.0,Coin,Denarius,Silver,Italy,Salus,http://numismatics.org/collectionimages/19001949/1944/1944.100.48180.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964759.7925828,151-200
0,42023,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1995/1995.11.414.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974452.8618743,101-150
0,6403,Antoninus Pius,Antoninus Pius,140.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19001949/1944/1944.100.48223.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964770.409872,101-150
0,41982,Antoninus Pius,Antoninus Pius,140.0,Coin,As,Bronze,Italy,Genius,http://numismatics.org/collectionimages/19501999/1995/1995.11.370.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974442.282345,101-150
0,4457,Marcus Aurelius,Antoninus Pius,161.0,Coin,Denarius,Silver,Italy,,http://numismatics.org/collectionimages/19001949/1948/1948.19.1348.obv.width175.jpg,Marcus Aurelius_Antoninus_1590964250.2206006,151-200
0,21399,Antoninus Pius,Antoninus Pius,145.0,Coin,Sestertius,Bronze,Italy,,http://numismatics.org/collectionimages/19501999/1984/1984.176.28.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590968835.4473925,101-150
0,40937,Antoninus Pius,Antoninus Pius,140.0,Coin,Denarius,Silver,Italy,Italia,http://numismatics.org/collectionimages/19501999/1956/1956.127.369.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590974157.8083723,101-150
0,6506,Antoninus Pius,Antoninus Pius,143.0,Coin,Sestertius,Bronze,Italy,Victory,http://numismatics.org/collectionimages/19001949/1944/1944.100.48239.obv.width175.jpg,Antoninus Pius_Antoninus Pius_1590964796.5184238,101-150
